id,smiles,exact_mass,type,C3,C6,C20,C26,C28,Other
AzIV,CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5C6(C)CCC(OC7OC(C(O)C(O)C7OC7OC(CO)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(O)=O)C(C)(CO)C6CCC5(C)C4(C)CCC23C)O1,1084.5454243280003,OL,3,,,,,
RIKENPlaSMA007723,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,956.4980802,OA,2,,,,1,
Matesaponin 5,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(C)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(COC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,1382.6718066119995,OA,3,,,,3,
Quillajasaponin,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC34C)C2C1)C(O)=O,486.3345245719999,OA,,,,,,
Licoricesaponin A3,CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(=O)OC1OC(CO)C(O)C(O)C1O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O,984.4566093240004,OA,2,,,,1,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[xylosyl-(1-&gt;3)]-glucuronide] 28-[glucosyl-(1-&gt;3)-[xylosyl-(1-&gt;4)]-rhamnosyl-(1-&gt;2)-3-[5-[[5-(arabinosyloxy)-3-hydroxy-6-methyl-1-oxooctyl]oxy]-3-hydroxy-6-methyl-1-oxooctyl]-fucosyl] ester,CCC(C)C(CC(O)CC(=O)OC(CC(O)CC(=O)OC1C(O)C(C)OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C2(C)CC3O)C1OC1OC(C)C(OC2OCC(O)C(O)C2O)C(OC2OC(CO)C(O)C(O)C2O)C1O)C(C)CC)OC1OC(CO)C(O)C1O,2018.9347419399985,OA,3,,,,5,
Protodegalactotigonin,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,1214.593162,SS,4,,,1,,
Tuberoside C (Ullucus tuberosus),CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,1104.5352535680004,OA,3,,,,1,
Calendasaponin C,CC1(C)CCC2(C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,1134.545818,OA,3,,,,1,
Trigofoenoside E1,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OCC(O)C(O)C2O)C(O)C1OC1OC(C)C(O)C(O)C1O,1048.5454243280003,SS,3,,,1,,
Soyasapogenol B 3-O-[a-L-rhamnosyl-(1-&gt;4)-b-D-galactosyl-(1-&gt;4)-b-D-glucuronide],CC1OC(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC65C)C4(C)CO)OC3C(O)=O)OC2CO)C(O)C(O)C1O,942.5188156560004,OL,3,,,,,
Kaikasaponin III,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CC(O)C5(C)CCC43C)C2(C)C)C(O)=O)C(O)C(O)C1O,926.5239010360002,OL,3,,,,,
Theasaponin E9,OC[C@H]1O[C@@H](O[C@H]2C(O[C@H]3CC[C@@]4(C)[C@@]([H])(CC[C@]5(C)[C@]4([H])CC=C4[C@]6([H])CC(C)(C)[C@@H](OC(=O)C(\C)=C\C)[C@H](O)[C@]6(COC(=O)C)[C@H](OC(=O)C)C[C@@]54C)[C@]3(C)C=O)O[C@H](C(=O)O)[C@@H](O)[C@@H]2O[C@@H]2OC[C@H](O)[C@H](O)C2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,1272.577512,OL,4,,,,,
RIKENPlaSMA008616,CC(C)=CCC=C(C)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,766.4867277,PPD,2,,,,,
"(3b,5a,22x,25S)-Furostane-22-methoxy-3,26-diol 3-[rhamnosyl-(1-&gt;2)-[glucosyl-(1-&gt;3)]-glucoside] 26-glucoside",COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(C)C(O)C(O)C1O,1080.5716390760006,SS,3,,,1,,
Helianthoside B,CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(O)CC43C)C(=O)OC3OCC(O)C(O)C3OC3OC(C)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C2(C)C)C(O)C(O)C1OC1OCC(O)C(O)C1O,1190.608419,OA,2,,,,3,
Notoginsenoside E,CC(C)(OO)\C=C\CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,978.5399450240002,PPD,2,,1,,,
Notoginsenoside R10,CC(=O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1O,554.3454831799999,PPT,,1,,,,
Asparagoside F,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(OC4OCC(O)C(O)C4O)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C2O)OC11CCC(C)CO1,1034.5297742640005,SS,4,,,,,
Ginsenoside M6a,CC(C)(O)\C=C\CC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,962.5450304040002,PPD,2,,1,,,
Funkioside C,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CO1,738.419042,SS,2,,,,,
Sanguisorbin E,CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1C)C(=O)OC1OC(CO)C(O)C(OC(C)=O)C1O,792.4659922360001,OA,1,,,,1,
Aldosterone 18-glucuronide,[H][C@]12CC3(C(O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)C(O)=O)O1)C(CC[C@@H]3C(=O)CO)C1CCC3=CC(=O)CC[C@]3(C)C21,536.225762,Other,,,,,,C18:1
VF-NPL-LTQ004200,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC56C)C4(C)CO)OC(C(=O)O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,942.5188156560004,OL,3,,,,,
Diosgenin 3-[glucosyl-(1-&gt;6)-glucosyl-(1-&gt;4)-rhamnosyl-(1-&gt;4)[rhamnosyl-(1-&gt;2)]-glucoside],CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)C(O)C3O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CO1,1192.5876830640004,SS,5,,,,,
Pitheduloside F,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,1044.5505097080002,OA,4,,,,,
Physagulin E,CC(C1CC(COC2OC(CO)C(O)C(O)C2O)=C(C)C(=O)O1)C1=CC(OC(C)=O)C2(O)C3CC(O)C4(O)CC=CC(=O)C4(C)C3CCC12C,706.3200562799999,Other,,,,,1,
MSBNK-RIKEN-PR307599,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,926.4875155,OA,2,,,,1,
Schidigerasaponin F1,CC1C2C(CC3C4CCC5CC(OC6OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)CC5(C)C4CCC23C)OC11CCC(C)CO1,888.4718655,SS,3,,,,,
Congmuyenoside B,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,1120.5665536960005,OA,4,,,,,
MSBNK-RIKEN-PR308544,C=C(CCC=C(C)C)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)CC12C,766.4867276800001,PPT,,2,,,,
Agavoside G,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CC(=O)C3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3OC3OCC(O)C(O)C3O)C(OC3OC(C)C(O)C(O)C3O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,1374.6303357239997,SS,5,,,1,,
Licoricesaponin F3,CC1OC(OC2C(O)C(O)C(OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC6(C)CC(OC6=O)C5(C)CCC43C)C2(C)C)C(O)=O)C(O)=O)C(O)C(O)C1O,952.4667800840002,OL,3,,,,,
Floratheasaponin C,CCC(C)C(=O)O[C@H]1[C@H](OC(=O)C(\C)=C/C)C(C)(C)C[C@@]2([H])C3=CC[C@]4([H])[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(O)=O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@]5([H])CC[C@@]4(C)[C@]3(C)[C@@H](O)[C@@H](O)[C@@]12CO,1274.629548,OA,4,,,,,
Quillaic acid 3-[galactosyl-(1-&gt;2)-[xylosyl-(1-&gt;3)]-glucuronide] 28-[glucosyl-(1-&gt;3)-[glucosyl-(1-&gt;3)-[xylosyl-(1-&gt;4)]-rhamnosyl-(1-&gt;2)]-4-acetyl-fucosyl] ester,CC1OC(OC2C(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)=O)C(C)(C=O)C6CCC5(C)C3(C)CC4O)OC(C)C(OC(C)=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OCC(O)C(O)C1O,1746.7359825639985,OA,3,,,,5,
CCMSLIB00012424005,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,632.3924333719998,OA,1,,,,,
